"","instnm","pub_status","conference","year","win_pct_diff","year2","applcn_pct_chng"
"425","Texas","Public","Big 12",2010,-51.2,2011,5.1
"426","Arizona","Public","Pac 12",2010,-7.7,2011,0
"427","Arkansas","Public","SEC",2010,15.4,2011,18.6
"428","California","Public","Pac 12",2010,-19.9,2011,3.5
"429","UCLA","Public","Pac 12",2010,-20.5,2011,10.5
"430","Florida","Public","SEC",2010,-31.3,2011,3
"431","Georgia","Public","SEC",2010,-15.4,2011,-2.1
"432","Illinois","Public","Big 10",2010,28.8,2011,5.3
"433","Iowa","Public","Big 10",2010,-23.1,2011,10
"434","Kansas","Public","Big 12",2010,-16.7,2011,-4.7
"435","Kentucky","Public","SEC",2010,-7.7,2011,11
"436","Maryland","Public","ACC",2010,52.6,2011,0.9
"437","Michigan","Public","Big 10",2010,12.2,2011,25.2
"438","Minnesota","Public","Big 10",2010,-21.2,2011,7.8
"439","Mississippi","Public","SEC",2010,-35.9,2011,22.1
"440","North Carolina","Public","ACC",2010,0,2011,-4
"441","Oklahoma","Public","Big 12",2010,24.2,2011,14.6
"442","Oregon","Public","Pac 12",2010,15.4,2011,10.3
"443","South Carolina","Public","SEC",2010,10.4,2011,4.5
"444","Southern California","Private","Pac 12",2010,-7.7,2011,4
"445","Virginia","Public","ACC",2010,8.3,2011,6.6
"446","Washington","Public","Pac 12",2010,12.2,2011,15.4
"447","Wisconsin","Public","Big 10",2010,7.7,2011,1.4
"448","Vanderbilt","Private","SEC",2010,0,2011,13.9
"449","Wake Forest","Private","ACC",2010,-16.7,2011,-6.6
